Node: 0, Time: +0s, Local time: +0s, Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Node: 0, Time: +0s, Local time: +0s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0

  Priority: -10 Protocol: ns3::Ipv4GlobalRouting
Node: 0, Time: +0s, Local time: +0s, Ipv4GlobalRouting table

Node: 1, Time: +0s, Local time: +0s, Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Node: 1, Time: +0s, Local time: +0s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.8.0        0.0.0.0         255.255.255.0   U     0      -      -   1
10.0.9.0        0.0.0.0         255.255.255.0   U     0      -      -   2

  Priority: -10 Protocol: ns3::Ipv4GlobalRouting
Node: 1, Time: +0s, Local time: +0s, Ipv4GlobalRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.6.0        10.0.18.1       255.255.255.0   UG    -      -      -   4
10.0.7.0        10.0.18.1       255.255.255.0   UG    -      -      -   4
10.0.16.0       10.0.18.1       255.255.255.0   UG    -      -      -   4
10.0.5.0        10.0.18.1       255.255.255.0   UG    -      -      -   4
10.0.6.0        10.0.18.1       255.255.255.0   UG    -      -      -   4
10.0.1.0        10.0.18.1       255.255.255.0   UG    -      -      -   4
10.0.7.0        10.0.18.1       255.255.255.0   UG    -      -      -   4
10.0.17.0       10.0.18.1       255.255.255.0   UG    -      -      -   4

Node: 5, Time: +0s, Local time: +0s, Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Node: 5, Time: +0s, Local time: +0s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.8.0        0.0.0.0         255.255.255.0   U     0      -      -   1
10.0.10.0       0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.11.0       0.0.0.0         255.255.255.0   U     0      -      -   3
10.0.15.0       0.0.0.0         255.255.255.0   U     0      -      -   4

  Priority: -10 Protocol: ns3::Ipv4GlobalRouting
Node: 5, Time: +0s, Local time: +0s, Ipv4GlobalRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.8.1        10.0.8.1        255.255.255.255 UH    -      -      -   1
10.0.9.1        10.0.8.1        255.255.255.255 UH    -      -      -   1
10.0.9.2        10.0.10.1       255.255.255.255 UH    -      -      -   2
10.0.10.1       10.0.10.1       255.255.255.255 UH    -      -      -   2
10.0.12.1       10.0.10.1       255.255.255.255 UH    -      -      -   2
10.0.14.1       10.0.10.1       255.255.255.255 UH    -      -      -   2
10.0.11.2       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.13.1       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.14.2       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.18.2       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.2.2        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.3.2        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.4.1        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.15.1       10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.12.2       10.0.10.1       255.255.255.255 UH    -      -      -   2
10.0.12.2       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.13.2       10.0.10.1       255.255.255.255 UH    -      -      -   2
10.0.13.2       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.16.2       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.17.1       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.18.1       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.0.2        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.1.1        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.2.1        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.0.1        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.3.1        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.4.2        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.5.1        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.6.2        10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.7.1        10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.16.1       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.17.2       10.0.11.2       255.255.255.255 UH    -      -      -   3
10.0.1.2        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.7.2        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.5.2        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.6.1        10.0.15.1       255.255.255.255 UH    -      -      -   4
10.0.8.0        10.0.8.1        255.255.255.0   UG    -      -      -   1
10.0.9.0        10.0.8.1        255.255.255.0   UG    -      -      -   1
10.0.9.0        10.0.10.1       255.255.255.0   UG    -      -      -   2
10.0.10.0       10.0.10.1       255.255.255.0   UG    -      -      -   2
10.0.12.0       10.0.10.1       255.255.255.0   UG    -      -      -   2
10.0.14.0       10.0.10.1       255.255.255.0   UG    -      -      -   2
10.0.12.0       10.0.10.1       255.255.255.0   UG    -      -      -   2
10.0.12.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.13.0       10.0.10.1       255.255.255.0   UG    -      -      -   2
10.0.13.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.11.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.13.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.14.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.18.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.16.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.17.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.18.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.6.0        10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.7.0        10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.16.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.17.0       10.0.11.2       255.255.255.0   UG    -      -      -   3
10.0.2.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.3.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.4.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.15.0       10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.0.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.1.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.2.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.1.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.7.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.0.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.3.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.4.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.5.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.5.0        10.0.15.1       255.255.255.0   UG    -      -      -   4
10.0.6.0        10.0.15.1       255.255.255.0   UG    -      -      -   4

Node: 6, Time: +0s, Local time: +0s, Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Node: 6, Time: +0s, Local time: +0s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.2.0        0.0.0.0         255.255.255.0   U     0      -      -   1
10.0.3.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.4.0        0.0.0.0         255.255.255.0   U     0      -      -   3
10.0.15.0       0.0.0.0         255.255.255.0   U     0      -      -   4

  Priority: -10 Protocol: ns3::Ipv4GlobalRouting
Node: 6, Time: +0s, Local time: +0s, Ipv4GlobalRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.0.2        10.0.2.1        255.255.255.255 UH    -      -      -   1
10.0.1.1        10.0.2.1        255.255.255.255 UH    -      -      -   1
10.0.2.1        10.0.2.1        255.255.255.255 UH    -      -      -   1
10.0.0.1        10.0.3.1        255.255.255.255 UH    -      -      -   2
10.0.3.1        10.0.3.1        255.255.255.255 UH    -      -      -   2
10.0.4.2        10.0.4.2        255.255.255.255 UH    -      -      -   3
10.0.5.1        10.0.4.2        255.255.255.255 UH    -      -      -   3
10.0.8.2        10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.10.2       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.11.1       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.15.2       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.1.2        10.0.2.1        255.255.255.255 UH    -      -      -   1
10.0.7.2        10.0.2.1        255.255.255.255 UH    -      -      -   1
10.0.5.2        10.0.4.2        255.255.255.255 UH    -      -      -   3
10.0.6.1        10.0.4.2        255.255.255.255 UH    -      -      -   3
10.0.8.1        10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.9.1        10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.9.2        10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.10.1       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.12.1       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.14.1       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.11.2       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.13.1       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.14.2       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.18.2       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.6.2        10.0.2.1        255.255.255.255 UH    -      -      -   1
10.0.6.2        10.0.4.2        255.255.255.255 UH    -      -      -   3
10.0.7.1        10.0.2.1        255.255.255.255 UH    -      -      -   1
10.0.7.1        10.0.4.2        255.255.255.255 UH    -      -      -   3
10.0.16.1       10.0.2.1        255.255.255.255 UH    -      -      -   1
10.0.16.1       10.0.4.2        255.255.255.255 UH    -      -      -   3
10.0.12.2       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.13.2       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.16.2       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.17.1       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.18.1       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.17.2       10.0.15.2       255.255.255.255 UH    -      -      -   4
10.0.0.0        10.0.2.1        255.255.255.0   UG    -      -      -   1
10.0.1.0        10.0.2.1        255.255.255.0   UG    -      -      -   1
10.0.2.0        10.0.2.1        255.255.255.0   UG    -      -      -   1
10.0.1.0        10.0.2.1        255.255.255.0   UG    -      -      -   1
10.0.7.0        10.0.2.1        255.255.255.0   UG    -      -      -   1
10.0.6.0        10.0.2.1        255.255.255.0   UG    -      -      -   1
10.0.6.0        10.0.4.2        255.255.255.0   UG    -      -      -   3
10.0.7.0        10.0.2.1        255.255.255.0   UG    -      -      -   1
10.0.7.0        10.0.4.2        255.255.255.0   UG    -      -      -   3
10.0.16.0       10.0.2.1        255.255.255.0   UG    -      -      -   1
10.0.16.0       10.0.4.2        255.255.255.0   UG    -      -      -   3
10.0.0.0        10.0.3.1        255.255.255.0   UG    -      -      -   2
10.0.3.0        10.0.3.1        255.255.255.0   UG    -      -      -   2
10.0.4.0        10.0.4.2        255.255.255.0   UG    -      -      -   3
10.0.5.0        10.0.4.2        255.255.255.0   UG    -      -      -   3
10.0.5.0        10.0.4.2        255.255.255.0   UG    -      -      -   3
10.0.6.0        10.0.4.2        255.255.255.0   UG    -      -      -   3
10.0.8.0        10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.10.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.11.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.15.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.8.0        10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.9.0        10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.9.0        10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.10.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.12.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.14.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.12.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.13.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.11.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.13.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.14.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.18.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.16.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.17.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.18.0       10.0.15.2       255.255.255.0   UG    -      -      -   4
10.0.17.0       10.0.15.2       255.255.255.0   UG    -      -      -   4

Node: 7, Time: +0s, Local time: +0s, Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Node: 7, Time: +0s, Local time: +0s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.16.0       0.0.0.0         255.255.255.0   U     0      -      -   1
10.0.17.0       0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.18.0       0.0.0.0         255.255.255.0   U     0      -      -   3

  Priority: -10 Protocol: ns3::Ipv4GlobalRouting
Node: 7, Time: +0s, Local time: +0s, Ipv4GlobalRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.6.2        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.7.1        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.16.1       10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.17.2       10.0.17.2       255.255.255.255 UH    -      -      -   2
10.0.11.2       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.13.1       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.14.2       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.18.2       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.5.2        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.6.1        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.1.2        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.7.2        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.8.2        10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.10.2       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.11.1       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.15.2       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.12.2       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.13.2       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.9.2        10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.10.1       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.12.1       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.14.1       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.4.2        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.5.1        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.0.2        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.1.1        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.2.1        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.8.1        10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.9.1        10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.2.2        10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.3.2        10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.4.1        10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.15.1       10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.0.1        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.0.1        10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.3.1        10.0.16.1       255.255.255.255 UH    -      -      -   1
10.0.3.1        10.0.18.2       255.255.255.255 UH    -      -      -   3
10.0.6.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.7.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.16.0       10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.5.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.6.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.4.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.5.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.1.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.7.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.0.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.1.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.2.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.0.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.0.0        10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.3.0        10.0.16.1       255.255.255.0   UG    -      -      -   1
10.0.3.0        10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.17.0       10.0.17.2       255.255.255.0   UG    -      -      -   2
10.0.11.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.13.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.14.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.18.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.8.0        10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.10.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.11.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.15.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.8.0        10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.9.0        10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.2.0        10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.3.0        10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.4.0        10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.15.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.12.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.13.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.9.0        10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.10.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.12.0       10.0.18.2       255.255.255.0   UG    -      -      -   3
10.0.14.0       10.0.18.2       255.255.255.0   UG    -      -      -   3

Node: 8, Time: +0s, Local time: +0s, Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Node: 8, Time: +0s, Local time: +0s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.17.0       0.0.0.0         255.255.255.0   U     0      -      -   1

  Priority: -10 Protocol: ns3::Ipv4GlobalRouting
Node: 8, Time: +0s, Local time: +0s, Ipv4GlobalRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
0.0.0.0         10.0.17.1       0.0.0.0         UG    -      -      -   1

Node: 9, Time: +0s, Local time: +0s, Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Node: 9, Time: +0s, Local time: +0s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.6.0        0.0.0.0         255.255.255.0   U     0      -      -   1
10.0.7.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.16.0       0.0.0.0         255.255.255.0   U     0      -      -   3

  Priority: -10 Protocol: ns3::Ipv4GlobalRouting
Node: 9, Time: +0s, Local time: +0s, Ipv4GlobalRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.5.2        10.0.6.1        255.255.255.255 UH    -      -      -   1
10.0.6.1        10.0.6.1        255.255.255.255 UH    -      -      -   1
10.0.1.2        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.7.2        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.16.2       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.17.1       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.18.1       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.4.2        10.0.6.1        255.255.255.255 UH    -      -      -   1
10.0.5.1        10.0.6.1        255.255.255.255 UH    -      -      -   1
10.0.0.2        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.1.1        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.2.1        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.17.2       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.11.2       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.13.1       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.14.2       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.18.2       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.2.2        10.0.6.1        255.255.255.255 UH    -      -      -   1
10.0.2.2        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.3.2        10.0.6.1        255.255.255.255 UH    -      -      -   1
10.0.3.2        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.4.1        10.0.6.1        255.255.255.255 UH    -      -      -   1
10.0.4.1        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.15.1       10.0.6.1        255.255.255.255 UH    -      -      -   1
10.0.15.1       10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.0.1        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.3.1        10.0.7.2        255.255.255.255 UH    -      -      -   2
10.0.8.2        10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.10.2       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.11.1       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.15.2       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.12.2       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.13.2       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.9.2        10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.10.1       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.12.1       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.14.1       10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.8.1        10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.9.1        10.0.16.2       255.255.255.255 UH    -      -      -   3
10.0.5.0        10.0.6.1        255.255.255.0   UG    -      -      -   1
10.0.6.0        10.0.6.1        255.255.255.0   UG    -      -      -   1
10.0.4.0        10.0.6.1        255.255.255.0   UG    -      -      -   1
10.0.5.0        10.0.6.1        255.255.255.0   UG    -      -      -   1
10.0.2.0        10.0.6.1        255.255.255.0   UG    -      -      -   1
10.0.2.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.3.0        10.0.6.1        255.255.255.0   UG    -      -      -   1
10.0.3.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.4.0        10.0.6.1        255.255.255.0   UG    -      -      -   1
10.0.4.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.15.0       10.0.6.1        255.255.255.0   UG    -      -      -   1
10.0.15.0       10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.1.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.7.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.0.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.1.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.2.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.0.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.3.0        10.0.7.2        255.255.255.0   UG    -      -      -   2
10.0.16.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.17.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.18.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.17.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.11.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.13.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.14.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.18.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.8.0        10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.10.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.11.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.15.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.8.0        10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.9.0        10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.12.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.13.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.9.0        10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.10.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.12.0       10.0.16.2       255.255.255.0   UG    -      -      -   3
10.0.14.0       10.0.16.2       255.255.255.0   UG    -      -      -   3

Node: 10, Time: +0s, Local time: +0s, Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Node: 10, Time: +0s, Local time: +0s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.5.0        0.0.0.0         255.255.255.0   U     0      -      -   1
10.0.6.0        0.0.0.0         255.255.255.0   U     0      -      -   2

  Priority: -10 Protocol: ns3::Ipv4GlobalRouting
Node: 10, Time: +0s, Local time: +0s, Ipv4GlobalRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.4.2        10.0.5.1        255.255.255.255 UH    -      -      -   1
10.0.5.1        10.0.5.1        255.255.255.255 UH    -      -      -   1
10.0.6.2        10.0.6.2        255.255.255.255 UH    -      -      -   2
10.0.7.1        10.0.6.2        255.255.255.255 UH    -      -      -   2
10.0.16.1       10.0.6.2        255.255.255.255 UH    -      -      -   2
10.0.2.2        10.0.5.1        255.255.255.255 UH    -      -      -   1
10.0.3.2        10.0.5.1        255.255.255.255 UH    -      -      -   1
10.0.4.1        10.0.5.1        255.255.255.255 UH    -      -      -   1
10.0.15.1       10.0.5.1        255.255.255.255 UH    -      -      -   1
10.0.1.2        10.0.6.2        255.255.255.255 UH    -      -      -   2
10.0.7.2        10.0.6.2        255.255.255.255 UH    -      -      -   2
10.0.16.2       10.0.6.2        255.255.255.255 UH    -      -      -   2
10.0.17.1       10.0.6.2        255.255.255.255 UH    -      -      -   2
10.0.18.1       10.0.6.2        255.255.255.255 UH    -      -      -   2
10.0.0.2        10.0.5.1        255.255.255.255 UH    -      -      -   1
10.0.0.2        10.0.6.2        255.255.255.255 UH    -      -      -   2
